ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยกคปอ. - สนามกีฬาธูปะเตมีย์,25+556,21229 ,11463 ,474 ,593 ,1214 ,11690 ,475 ,158 ,51 ,66 ,47413 ,4.73 ,6 ,10457 ,ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,108311 ,26881 ,1969 ,3447 ,9254 ,43059 ,6751 ,3108 ,1059 ,961 ,204800 ,12.53 ,248 ,13503 ,ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,87750 ,39823 ,4304 ,6787 ,11306 ,53433 ,18746 ,4543 ,3100 ,2165 ,231957 ,19.89 ,209 ,15406 ,ขท.ปทุมธานี,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,60+800,31945 ,28444 ,8768 ,3359 ,4123 ,8243 ,8395 ,8917 ,8313 ,7755 ,118262 ,36.00 ,6 ,1747 ,ขท.อยุธยา,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,67+300,34779 ,21367 ,10357 ,2577 ,3692 ,17362 ,16492 ,10807 ,12320 ,9982 ,139735 ,40.72 ,4 ,1686 ,ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,28371 ,24577 ,555 ,788 ,1121 ,34114 ,6023 ,8637 ,8789 ,8468 ,121443 ,29.14 ,60 ,3628 ,ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,8434 ,6433 ,2556 ,2247 ,2087 ,6290 ,4017 ,3641 ,6520 ,6366 ,48591 ,51.12 ,106 ,3328 ,ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,8463 ,5636 ,1571 ,2413 ,1901 ,6958 ,4218 ,3736 ,3508 ,3574 ,41978 ,49.23 ,59 ,6078 ,ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,6085 ,7581 ,1396 ,715 ,697 ,2238 ,1934 ,1805 ,2228 ,903 ,25582 ,32.79 ,32 ,2106 ,ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยกร.พ.อานันทมหิดล - เขาวงพระจันทร์,167+355,6629 ,2476 ,6 ,16 ,18 ,6651 ,225 ,92 ,135 ,67 ,16315 ,4.12 ,14 ,2754 ,ขท.ลพบุรีที่ 1,ลพบุรี
1,504,เขาวงพระจันทร์ - โรงเรียนยงค์สุรีย์,192+000,3633 ,2066 ,103 ,78 ,118 ,2434 ,514 ,252 ,345 ,224 ,9767 ,17.39 ,56 ,2505 ,ขท.ลพบุรีที่ 1,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,222+176,689 ,334 ,7 ,1 ,14 ,2056 ,134 ,145 ,502 ,244 ,4126 ,25.36 ,5 ,592 ,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,1598 ,168 ,14 ,2 ,8 ,2440 ,163 ,123 ,307 ,155 ,4978 ,14.47 ,5 ,1185 ,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,603,ตาคลี - ดอนรังนก,254+000,2278 ,672 ,13 ,8 ,7 ,3597 ,76 ,97 ,195 ,88 ,7031 ,6.31 ,1 ,3040 ,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,2725 ,1960 ,4 ,10 ,19 ,3183 ,244 ,179 ,275 ,31 ,8630 ,7.71 ,8 ,967 ,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,8274 ,1349 ,9 ,5 ,27 ,2821 ,741 ,329 ,713 ,244 ,14512 ,14.37 ,10 ,1386 ,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,4255 ,3327 ,71 ,11 ,25 ,4232 ,458 ,292 ,636 ,243 ,13550 ,13.11 ,9 ,1018 ,ขท.ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,10641 ,12047 ,0 ,68 ,457 ,17868 ,1988 ,2415 ,2404 ,2386 ,50274 ,19.32 ,26 ,935 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,5853 ,5728 ,0 ,0 ,326 ,9307 ,1714 ,1730 ,1706 ,1720 ,28084 ,25.78 ,34 ,974 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,331+276,8937 ,7504 ,208 ,223 ,324 ,11175 ,1209 ,1228 ,1223 ,1270 ,33301 ,16.55 ,14 ,6235 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - วังไผ่,341+076,8959 ,9019 ,36 ,311 ,719 ,12934 ,1323 ,1583 ,1549 ,1636 ,38069 ,18.80 ,8 ,8287 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ - โนนปอแดง,356+936,2519 ,2424 ,33 ,31 ,102 ,3146 ,761 ,1511 ,1428 ,1461 ,13416 ,39.95 ,7 ,1077 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,803,วังไผ่ - โนนปอแดง,377+276,2783 ,2538 ,24 ,18 ,54 ,2208 ,1708 ,1699 ,1684 ,1901 ,14617 ,49.71 ,24 ,357 ,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,901,โนนปอแดง - ปากดง,390+276,8322 ,5232 ,100 ,51 ,104 ,4978 ,1294 ,807 ,1039 ,1319 ,23246 ,18.38 ,20 ,1522 ,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,417+776,5239 ,5365 ,92 ,43 ,159 ,8468 ,1169 ,960 ,1123 ,1356 ,23974 ,21.60 ,42 ,1589 ,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,423+900,6957 ,5267 ,105 ,29 ,130 ,6513 ,1408 ,870 ,1161 ,1217 ,23657 ,21.99 ,25 ,806 ,ขท.กำแพงเพชร,กำแพงเพชร
1,902,ปากดง - นครชุม,457+876,7183 ,2316 ,24 ,16 ,78 ,3657 ,1200 ,1605 ,3542 ,3969 ,23590 ,37.42 ,9 ,1340 ,ขท.กำแพงเพชร,กำแพงเพชร
1,903,นครชุม - วังเจ้า,486+779,2562 ,1780 ,36 ,22 ,48 ,5368 ,762 ,581 ,552 ,881 ,12592 ,24.80 ,10 ,898 ,ขท.กำแพงเพชร,กำแพงเพชร
1,1001,วังเจ้า - ตาก,511+796,4045 ,3001 ,41 ,18 ,98 ,6818 ,1118 ,740 ,834 ,1742 ,18455 ,27.53 ,12 ,749 ,ขท.ตากที่ 1,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,543+117,3388 ,1216 ,16 ,14 ,64 ,788 ,800 ,811 ,750 ,1195 ,9042 ,36.13 ,32 ,195 ,ขท.ตากที่ 1,ตาก
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,3794 ,3217 ,114 ,38 ,133 ,1020 ,1034 ,956 ,1208 ,1354 ,12868 ,34.26 ,58 ,316 ,ขท.ลำปางที่ 1,ลำปาง
