ลำดับที่,ปีที่สำรวจ,จุดสำรวจ,ถนน,ทิศทาง,รายการสำรวจ, ปริมาณจราจร (คัน/วัน) , ปริมาณจราจร (PCU/ชั่วโมง) 
1,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT,"29,308","39,231"
2,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,379","1,793"
3,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,909","2,325"
4,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"2,251","2,756"
5,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"2,251","2,756"
6,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"30,249","40,106"
7,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,724","2,017"
8,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"2,028","2,567"
9,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,896","2,352"
10,2564,MB 01,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"2,028","2,567"
11,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"5,018","6,550"
12,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,341,425
13,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,339,459
14,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,370,429
15,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,370,462
16,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"3,345","4,198"
17,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,324,405
18,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,358,477
19,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,428,500
20,2564,MB 02,ทางหลวงแผ่นดินหมายเลข 33,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,428,500
21,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"16,278","20,980"
22,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,160","1,434"
23,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,940,"1,243"
24,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,215","1,467"
25,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"1,215","1,467"
26,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"10,521","13,437"
27,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"1,100","1,428"
28,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"1,208","1,572"
29,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"1,100","1,366"
30,2564,MB 03,ทางหลวงแผ่นดินหมายเลข 347,ขาออก,ปริมาณจราจรชั่วโมงสูงสุด ,"1,208","1,572"
31,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"58,315","68,992"
32,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"5,395","5,266"
33,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,334","3,896"
34,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรในชั่วโมงเร่งด่วน เย็น ,"4,335","4,757"
35,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาเข้า,ปริมาณจราจรชั่วโมงสูงสุด ,"5,395","5,266"
36,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรเฉลี่ยทั้งวัน AADT ,"36,610","42,396"
37,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน เช้า ,"3,973","4,281"
38,2564,MB 04,ทางหลวงแผ่นดินหมายเลข 32,ขาออก,ปริมาณจราจรในชั่วโมงเร่งด่วน กลางวัน ,"3,617","4,239"
