name,latitude,longitude,organization,date_type,date,time_start,time_end,speed,density,volume,capacity,v/c
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,5:00:00,6:00:00,129,30,475,2700,0.18
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,6:00:00,7:00:00,90,96,1514,2700,0.56
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,7:00:00,8:00:00,72,53,3283,2700,1.22
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,8:00:00,9:00:00,76,78,2392,2700,0.89
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,9:00:00,10:00:00,71,73,2320,2700,0.86
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,10:00:00,11:00:00,74,75,2283,2700,0.85
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,11:00:00,12:00:00,83,82,4004,2700,1.48
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,12:00:00,13:00:00,68,95,3814,2700,1.41
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,13:00:00,14:00:00,71,73,2321,2700,0.86
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,14:00:00,15:00:00,75,73,2316,2700,0.86
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,15:00:00,16:00:00,73,74,2241,2700,0.83
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,16:00:00,17:00:00,77,94,3684,2700,1.36
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,17:00:00,18:00:00,74,61,3885,2700,1.44
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,5/9/2022,18:00:00,19:00:00,68,34,1852,2700,0.69
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,5:00:00,6:00:00,110,16,505,2700,0.19
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,6:00:00,7:00:00,78,53,1628,2700,0.60
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,7:00:00,8:00:00,76,55,2064,2700,0.76
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,8:00:00,9:00:00,81,71,2235,2700,0.83
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,9:00:00,10:00:00,80,67,2196,2700,0.81
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,10:00:00,11:00:00,79,69,2124,2700,0.79
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,11:00:00,12:00:00,70,78,2464,2700,0.91
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,12:00:00,13:00:00,68,111,3636,2700,1.35
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,13:00:00,14:00:00,78,69,2191,2700,0.81
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,14:00:00,15:00:00,81,67,2169,2700,0.80
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,15:00:00,16:00:00,77,68,2223,2700,0.82
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,16:00:00,17:00:00,59,77,2951,2700,1.09
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,17:00:00,18:00:00,69,100,3300,2700,1.22
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,6/9/2022,18:00:00,19:00:00,59,46,2033,2700,0.75
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,5:00:00,6:00:00,94,25,764,2700,0.28
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,6:00:00,7:00:00,65,72,2234,2700,0.83
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,7:00:00,8:00:00,69,74,3087,2700,1.14
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,8:00:00,9:00:00,75,83,2771,2700,1.03
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,9:00:00,10:00:00,71,79,2687,2700,1.00
PER-14-001 38 - พุทธมณฑลสาย 4 - นครชัยศรี,13.777329,100.2234,doh,working,7/9/2022,10:00:00,11:00:00,74,78,2760,2700,1.02
