episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
1,training,3601,157066.0,5522,10959,144.4007,4.82,0.5,83.1,-118.4858,-15.07,-1.0848,277.0,-81.0587
2,training,3601,154753.0,5588,10965,119.7873,4.84,0.47,83.1,-140.2106,-14.88,-1.0194,277.0,-84.2027
3,training,3601,176349.0,5620,10903,107.2258,4.81,0.51,83.1,-150.2576,-14.83,-1.092,277.0,-86.6947
4,training,3601,151185.0,5446,10934,147.2241,4.85,0.47,83.1,-117.514,-14.95,-1.0092,277.0,-79.4027
5,training,3601,172802.0,5508,11013,132.1203,4.83,0.51,83.1,-128.0897,-14.42,-1.098,277.0,-84.372
6,training,3601,175006.0,5396,11059,108.8654,4.84,0.51,83.1,-148.2447,-15.11,-1.1106,277.0,-86.7693
7,training,3601,161893.0,5507,11001,111.1612,4.82,0.46,83.1,-149.8774,-15.03,-0.99,277.0,-83.0413
8,training,3601,168112.0,5660,11011,97.5808,4.83,0.46,83.1,-159.5716,-14.87,-0.999,277.0,-87.0787
9,training,3601,152445.0,5419,11133,136.0703,4.83,0.5,83.1,-121.6862,-14.84,-1.0902,277.0,-86.4133
10,training,3601,143463.0,5585,10992,149.7061,4.81,0.5,83.1,-110.6209,-15.4,-1.077,277.0,-83.296
11,training,3601,166045.0,5542,11014,119.5324,4.82,0.51,83.1,-137.9356,-15.03,-1.098,277.0,-86.504
12,training,3601,122626.0,5634,10896,154.5087,4.81,0.45,83.1,-108.8532,-15.5,-0.9768,277.0,-80.2613
13,training,3601,148748.0,5586,10865,129.2465,4.84,0.47,83.1,-132.2647,-14.53,-1.0134,277.0,-83.0453
14,training,3601,163418.0,5484,11005,98.1986,4.81,0.45,83.1,-159.6906,-14.66,-0.9774,277.0,-86.5733
15,training,3601,166720.0,5547,11065,124.1547,4.84,0.51,83.1,-134.7012,-15.21,-1.0968,277.0,-84.9373
16,training,3601,158019.0,5556,10946,117.1539,4.81,0.49,83.1,-140.7017,-15.1,-1.0644,277.0,-86.08
