episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
1,training,3601,142215.0,5560,10971,143.5393,4.82,0.47,83.1,-120.2731,-15.55,-1.0176,277.0,-79.72
2,training,3601,143865.0,5549,10967,153.0957,4.83,0.5,83.1,-112.5536,-15.65,-1.074,277.0,-77.7267
3,training,3601,143328.0,5575,10955,153.689,4.82,0.5,83.1,-109.2346,-14.96,-1.0698,277.0,-81.1467
4,training,3601,166525.0,5426,11078,135.8949,4.8,0.54,83.1,-121.6042,-15.4,-1.1676,277.0,-86.0333
5,training,3601,150883.0,5474,11016,133.8593,4.83,0.48,83.1,-129.6239,-15.02,-1.0302,277.0,-80.5667
6,training,3601,162761.0,5422,11039,118.0135,4.84,0.46,83.1,-143.7536,-14.92,-0.9942,277.0,-82.4187
7,training,3601,169122.0,5531,11024,117.878,4.81,0.48,83.1,-140.2514,-15.04,-1.0452,277.0,-85.8853
8,training,3601,143147.0,5593,10913,146.1228,4.83,0.49,83.1,-113.7777,-15.19,-1.0668,277.0,-83.9427
9,training,3611,184883.0,5346,11109,101.932,4.83,0.51,83.4,-156.8471,-15.11,-1.1016,278.0,-86.4093
10,training,3601,160146.0,5566,11040,137.596,4.82,0.48,83.1,-127.3472,-15.27,-1.0428,277.0,-78.844
11,training,3601,170402.0,5565,10966,117.3836,4.82,0.53,83.1,-140.0099,-15.1,-1.1412,277.0,-86.4653
12,training,3608,137204.0,5517,11089,163.6878,4.82,0.48,83.4,-103.3195,-14.9,-1.0434,278.0,-78.4493
13,training,3611,164633.0,5399,11109,112.3462,4.83,0.48,83.4,-145.4115,-15.41,-1.035,278.0,-87.1973
14,training,3605,138744.0,5509,11132,141.0258,4.87,0.47,83.4,-121.2976,-15.47,-1.0212,278.0,-82.5853
15,training,3602,154080.0,5540,11083,130.2982,4.85,0.47,83.4,-130.7402,-15.01,-1.0116,278.0,-84.34
16,training,3605,187976.0,5481,11082,116.4161,4.84,0.48,83.4,-143.4581,-14.77,-1.0332,278.0,-85.7227
17,training,3608,181830.0,5545,11000,105.9821,4.84,0.5,83.4,-155.0268,-15.04,-1.0764,278.0,-84.2747
18,training,3601,127310.0,5462,11018,163.0517,4.81,0.48,83.1,-101.5239,-15.54,-1.0284,277.0,-78.956
19,training,3605,175268.0,5471,11075,119.0245,4.83,0.53,83.4,-139.7753,-15.02,-1.1442,278.0,-86.436
20,training,3605,128790.0,5526,11077,156.6618,4.84,0.45,83.4,-108.5503,-15.44,-0.9786,278.0,-79.7693
21,training,3608,146375.0,5637,11042,133.5079,4.84,0.46,83.4,-130.3449,-15.14,-0.9912,278.0,-81.416
22,training,3611,156615.0,5537,11143,134.1598,4.82,0.52,83.4,-127.1102,-14.66,-1.134,278.0,-84.336
23,training,3611,167783.0,5474,11099,122.18,4.84,0.49,83.4,-137.8951,-15.37,-1.0536,278.0,-84.9013
24,training,3602,162421.0,5556,11039,133.1063,4.85,0.51,83.4,-128.3584,-15.13,-1.092,278.0,-83.7133
25,training,3609,146091.0,5574,11084,133.7113,4.86,0.45,83.7,-132.0767,-15.12,-0.984,279.0,-80.808
26,training,3606,169994.0,5490,11187,127.1299,4.86,0.53,83.7,-132.3485,-14.64,-1.1376,279.0,-87.444
27,training,3602,166072.0,5511,11083,125.1946,4.84,0.49,83.4,-136.9597,-14.77,-1.065,278.0,-83.4107
28,training,3609,163967.0,5515,11104,126.6367,4.86,0.5,83.7,-135.8097,-14.84,-1.083,279.0,-84.3307
29,training,3600,179034.0,5567,11013,124.0013,4.84,0.55,83.7,-133.7259,-15.08,-1.1928,279.0,-88.7
30,training,3603,164221.0,5587,11053,136.8539,4.84,0.53,83.7,-125.0736,-14.64,-1.1472,279.0,-84.9853
