episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
1,training,3601,167900.0,5504,11000,119.3119,4.82,0.53,83.1,-136.1442,-15.88,-1.1532,277.0,-87.6107
2,training,3601,153235.0,5531,11024,134.2411,4.83,0.49,83.1,-126.7249,-15.03,-1.068,277.0,-83.036
3,training,3601,163442.0,5477,10927,116.4728,4.84,0.5,83.1,-141.5198,-15.43,-1.08,277.0,-85.5973
4,training,3601,149805.0,5529,11017,139.8172,4.85,0.47,83.1,-120.96,-15.32,-1.0134,277.0,-82.9893
5,training,3601,176980.0,5557,11169,101.4252,4.84,0.51,83.1,-154.26,-15.38,-1.0962,277.0,-87.9387
6,training,3601,133051.0,5654,10925,145.4426,4.85,0.45,83.1,-120.2199,-15.43,-0.9702,277.0,-78.0373
7,training,3601,148647.0,5488,11017,134.5647,4.82,0.48,83.1,-126.384,-15.19,-1.044,277.0,-82.9173
8,training,3601,149881.0,5623,11018,117.0479,4.83,0.45,83.1,-142.1175,-15.21,-0.978,277.0,-84.7467
9,training,3601,148978.0,5567,10957,137.6667,4.8,0.49,83.1,-124.8074,-15.38,-1.0566,277.0,-81.1893
10,training,3601,162822.0,5448,11083,126.1341,4.82,0.48,83.1,-134.4742,-15.27,-1.035,277.0,-83.1867
11,training,3611,166253.0,5520,10995,121.278,4.83,0.52,83.4,-135.237,-15.39,-1.119,278.0,-88.376
12,training,3601,171940.0,5515,10973,107.2457,4.83,0.49,83.1,-149.6471,-14.76,-1.0512,277.0,-87.396
13,training,3601,172009.0,5562,11056,113.6904,4.81,0.5,83.1,-143.8424,-14.88,-1.0872,277.0,-86.6
14,training,3601,164114.0,5593,11041,111.9779,4.81,0.49,83.1,-144.8854,-15.39,-1.068,277.0,-86.7787
15,training,3601,174614.0,5435,10927,112.4114,4.84,0.52,83.1,-145.1057,-15.57,-1.1142,277.0,-85.8987
16,training,3601,150342.0,5387,11112,140.5664,4.83,0.49,83.1,-121.3381,-14.78,-1.0662,277.0,-82.3493
