รหัสทางแยก,ชื่อทางแยกและทิศทาง,Edge_ขาเข้า,วินาทีเริ่มต้น,วินาทีสิ้นสุด,ช่วงเวลา,ประเภทรถ,ปริมาณรถ(คัน/ชม.),แหล่งที่มา
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,30,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,1820,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตุ๊กตุ๊ก_สามล้อ,60,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถยนต์นั่งส่วนบุคคล,2730,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถแท็กซี่,607,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตู้,182,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดเล็ก,121,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดใหญ่,182,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก4ล้อ,242,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก6ล้อ,60,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก10ล้อขึ้นไป,18,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถพ่วง_รถกึ่งพ่วง,18,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยาน,11,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยานยนต์,708,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตุ๊กตุ๊ก_สามล้อ,23,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถยนต์นั่งส่วนบุคคล,1062,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถแท็กซี่,236,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตู้,70,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดเล็ก,47,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดใหญ่,70,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก4ล้อ,94,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก6ล้อ,23,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก10ล้อขึ้นไป,7,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,10,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,23,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยานยนต์,1416,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตุ๊กตุ๊ก_สามล้อ,47,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถยนต์นั่งส่วนบุคคล,2124,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถแท็กซี่,472,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตู้,141,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดเล็ก,94,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดใหญ่,141,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก4ล้อ,188,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก6ล้อ,47,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก10ล้อขึ้นไป,14,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถพ่วง_รถกึ่งพ่วง,14,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,21,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,1300,ข้อมูลจาก_PDF
