รหัสทางแยก,ชื่อทางแยกและทิศทาง,Edge_ขาเข้า,วินาทีเริ่มต้น,วินาทีสิ้นสุด,ช่วงเวลา,ประเภทรถ,ปริมาณรถ(คัน/ชม.),แหล่งที่มา
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,0.035,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,2.132,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตุ๊กตุ๊ก_สามล้อ,0.07,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถยนต์นั่งส่วนบุคคล,3.198,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถแท็กซี่,0.711,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตู้,0.213,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดเล็ก,0.142,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดใหญ่,0.213,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก4ล้อ,0.283,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก6ล้อ,0.07,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก10ล้อขึ้นไป,0.021,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถพ่วง_รถกึ่งพ่วง,0.021,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยาน,0.013,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยานยนต์,0.829,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตุ๊กตุ๊ก_สามล้อ,0.027,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถยนต์นั่งส่วนบุคคล,1.244,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถแท็กซี่,0.276,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตู้,0.082,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดเล็ก,0.055,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดใหญ่,0.082,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก4ล้อ,0.11,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก6ล้อ,0.027,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก10ล้อขึ้นไป,0.008,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,0.012,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,0.027,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยานยนต์,1.659,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตุ๊กตุ๊ก_สามล้อ,0.055,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถยนต์นั่งส่วนบุคคล,2.488,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถแท็กซี่,0.553,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตู้,0.165,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดเล็ก,0.11,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดใหญ่,0.165,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก4ล้อ,0.22,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก6ล้อ,0.055,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก10ล้อขึ้นไป,0.016,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถพ่วง_รถกึ่งพ่วง,0.016,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,0.025,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,1.523,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถตุ๊กตุ๊ก_สามล้อ,0.05,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถยนต์นั่งส่วนบุคคล,2.284,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถแท็กซี่,0.507,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถตู้,0.152,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดเล็ก,0.101,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดใหญ่,0.152,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก4ล้อ,0.203,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก6ล้อ,0.05,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก10ล้อขึ้นไป,0.015,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,25200,32400,เร่งด่วนเช้า,รถพ่วง_รถกึ่งพ่วง,0.015,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยาน,0.009,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยานยนต์,0.591,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถตุ๊กตุ๊ก_สามล้อ,0.02,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถยนต์นั่งส่วนบุคคล,0.888,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถแท็กซี่,0.197,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถตู้,0.059,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดเล็ก,0.039,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดใหญ่,0.059,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก4ล้อ,0.078,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก6ล้อ,0.02,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก10ล้อขึ้นไป,0.006,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,0.008,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,0.019,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถจักรยานยนต์,1.184,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถตุ๊กตุ๊ก_สามล้อ,0.039,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถยนต์นั่งส่วนบุคคล,1.777,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถแท็กซี่,0.395,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถตู้,0.118,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดเล็ก,0.078,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดใหญ่,0.118,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก4ล้อ,0.157,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก6ล้อ,0.039,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก10ล้อขึ้นไป,0.012,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พระราม1,edge_rama1_in,54000,64800,เร่งด่วนเย็น,รถพ่วง_รถกึ่งพ่วง,0.013,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,0.006,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,0.353,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถตุ๊กตุ๊ก_สามล้อ,0.012,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถยนต์นั่งส่วนบุคคล,0.528,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถแท็กซี่,0.117,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,25200,32400,เร่งด่วนเช้า,รถตู้,0.035,ข้อมูลจาก_PDF
