รหัสทางแยก,ชื่อทางแยกและทิศทาง,Edge_ขาเข้า,วินาทีเริ่มต้น,วินาทีสิ้นสุด,ช่วงเวลา,ประเภทรถ,ปริมาณรถ(คัน/ชม.),แหล่งที่มา
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยาน,0.9,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถจักรยานยนต์,54.6,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตุ๊กตุ๊ก_สามล้อ,1.8,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถยนต์นั่งส่วนบุคคล,81.9,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถแท็กซี่,18.21,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถตู้,5.46,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดเล็ก,3.63,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถโดยสารขนาดใหญ่,5.46,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก4ล้อ,7.26,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก6ล้อ,1.8,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถบรรทุก10ล้อขึ้นไป,0.54,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,25200,32400,เร่งด่วนเช้า,รถพ่วง_รถกึ่งพ่วง,0.54,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยาน,0.33,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถจักรยานยนต์,21.24,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตุ๊กตุ๊ก_สามล้อ,0.69,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถยนต์นั่งส่วนบุคคล,31.86,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถแท็กซี่,7.08,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถตู้,2.1,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดเล็ก,1.41,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถโดยสารขนาดใหญ่,2.1,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก4ล้อ,2.82,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก6ล้อ,0.69,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถบรรทุก10ล้อขึ้นไป,0.21,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,0.3,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,0.69,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถจักรยานยนต์,42.48,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตุ๊กตุ๊ก_สามล้อ,1.41,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถยนต์นั่งส่วนบุคคล,63.72,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถแท็กซี่,14.16,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถตู้,4.23,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดเล็ก,2.82,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดใหญ่,4.23,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก4ล้อ,5.64,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก6ล้อ,1.41,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก10ล้อขึ้นไป,0.42,ข้อมูลจาก_PDF
PTW-01,แยกปทุมวัน ขาเข้า ถ.พญาไท,edge_phayathai_in,54000,64800,เร่งด่วนเย็น,รถพ่วง_รถกึ่งพ่วง,0.42,ข้อมูลจาก_PDF
